DATE,WPU0711
1990-07-01,109.6666666666666667
1990-10-01,113.4000000000000000
1991-01-01,111.2000000000000000
1991-04-01,106.4333333333333333
1991-07-01,102.9333333333333333
1991-10-01,101.4333333333333333
1992-01-01,101.7666666666666667
1992-04-01,101.7666666666666667
1992-07-01,104.4000000000000000
1992-10-01,105.3666666666666667
1993-01-01,104.1333333333333333
1993-04-01,104.3333333333333333
1993-07-01,106.4666666666666667
1993-10-01,106.1333333333333333
1994-01-01,104.6333333333333333
1994-04-01,105.3000000000000000
1994-07-01,109.1666666666666667
1994-10-01,114.6000000000000000
1995-01-01,121.1333333333333333
1995-04-01,126.2000000000000000
1995-07-01,127.9000000000000000
1995-10-01,126.7666666666666667
1996-01-01,122.8666666666666667
1996-04-01,121.4000000000000000
1996-07-01,121.1333333333333333
1996-10-01,120.5000000000000000
1997-01-01,120.3333333333333333
1997-04-01,118.9666666666666667
1997-07-01,117.4000000000000000
1997-10-01,117.9333333333333333
1998-01-01,117.6666666666666667
1998-04-01,116.7333333333333333
1998-07-01,116.5666666666666667
1998-10-01,115.4000000000000000
1999-01-01,113.5666666666666667
1999-04-01,112.3333333333333333
1999-07-01,112.8000000000000000
1999-10-01,114.4666666666666667
2000-01-01,114.9666666666666667
2000-04-01,116.6333333333333333
2000-07-01,120.4666666666666667
2000-10-01,121.7666666666666667
2001-01-01,122.8666666666666667
2001-04-01,123.9000000000000000
2001-07-01,122.8666666666666667
2001-10-01,119.2666666666666667
2002-01-01,117.2666666666666667
2002-04-01,116.7000000000000000
2002-07-01,118.9666666666666667
2002-10-01,121.7000000000000000
2003-01-01,123.3333333333333333
2003-04-01,126.5666666666666667
2003-07-01,125.0333333333333333
2003-10-01,125.1333333333333333
2004-01-01,126.7000000000000000
2004-04-01,128.7000000000000000
2004-07-01,133.0666666666666667
2004-10-01,138.4666666666666667
2005-01-01,145.9333333333333333
2005-04-01,148.9666666666666667
2005-07-01,150.8666666666666667
2005-10-01,156.2666666666666667
2006-01-01,160.3000000000000000
2006-04-01,158.7666666666666667
2006-07-01,160.7333333333333333
2006-10-01,164.6666666666666667
2007-01-01,166.5333333333333333
2007-04-01,167.7666666666666667
2007-07-01,169.6000000000000000
2007-10-01,169.9333333333333333
2008-01-01,176.7333333333333333
2008-04-01,188.0333333333333333
2008-07-01,222.8333333333333333
2008-10-01,234.6333333333333333
2009-01-01,188.5000000000000000
2009-04-01,172.0666666666666667
2009-07-01,183.1666666666666667
2009-10-01,196.2000000000000000
2010-01-01,202.1000000000000000
2010-04-01,214.1000000000000000
2010-07-01,220.9666666666666667
2010-10-01,220.2333333333333333
2011-01-01,233.4666666666666667
2011-04-01,265.8333333333333333
2011-07-01,299.6333333333333333
2011-10-01,274.9000000000000000
2012-01-01,270.6000000000000000
2012-04-01,283.1666666666666667
2012-07-01,248.5666666666666667
2012-10-01,241.0666666666666667
2013-01-01,240.1000000000000000
2013-04-01,240.2000000000000000
2013-07-01,221.3666666666666667
2013-10-01,219.7000000000000000
2014-01-01,227.0000000000000000
2014-04-01,228.5666666666666667
2014-07-01,222.8000000000000000
2014-10-01,216.0000000000000000
2015-01-01,199.1000000000000000
2015-04-01,193.8666666666666667
2015-07-01,198.8333333333333333
2015-10-01,194.3666666666666667
2016-01-01,187.2000000000000000
2016-04-01,190.4000000000000000
2016-07-01,192.9666666666666667
2016-10-01,199.5000000000000000
2017-01-01,223.3666666666666667
2017-04-01,220.0000000000000000
2017-07-01,196.3666666666666667
2017-10-01,197.5000000000000000
2018-01-01,201.6666666666666667
2018-04-01,217.3333333333333333
2018-07-01,222.0333333333333333
2018-10-01,218.1000000000000000
2019-01-01,208.8000000000000000
2019-04-01,209.7666666666666667
2019-07-01,204.5000000000000000
2019-10-01,200.4666666666666667
2020-01-01,201.1000000000000000
2020-04-01,186.3666666666666667
2020-07-01,184.1666666666666667
2020-10-01,193.2333333333333333
2021-01-01,199.2666666666666667
2021-04-01,213.7333333333333333
2021-07-01,239.0730000000000000
2021-10-01,243.4420000000000000
2022-01-01,239.5003333333333333
2022-04-01,251.3186666666666667
2022-07-01,265.0450000000000000
2022-10-01,249.9833333333333333
2023-01-01,236.4833333333333333
2023-04-01,234.7833333333333333
2023-07-01,217.6526666666666667
2023-10-01,223.7016666666666667
2024-01-01,222.1566666666666667
2024-04-01,245.0726666666666667
2024-07-01,246.8186666666666667
